sourceHandle,sourceTitle,sourceImage,sourceCode,referenceCount,cand1_gid,cand1_handle,cand1_title,cand1_score,cand2_gid,cand2_handle,cand2_title,cand2_score,cand3_gid,cand3_handle,cand3_title,cand3_score,accepted_gid
koreni-na-jidla-z-jednoho-hrnce-bio-krabicka,Koření na jídla z jednoho hrnce bio krabička,https://www.sonnentor.com/cz/product-images/00973/72380/image-thumb__72380__product-teaser-img/00973.cc07dea9.jpg,00973,5,gid://shopify/Product/15821922763086,koreni-na-vejce-bio-70g,Koření na vejce bio 70g,0.333,gid://shopify/Product/15821933314382,koreni-na-burger-bio-60-g,Koření na burger bio 60 g,0.333,gid://shopify/Product/15821933445454,koreni-na-nakladani-bio-65-g,Koření na nakládání bio 65 g,0.333,
citron-etericky-olej-bio,Ukázat detaily,https://www.sonnentor.com/cz/product-images/15060/33936/image-thumb__33936__product-teaser-img/15060.bfee1be6.jpg,15060,7,,,,,,,,,,,,,
mesicek-sypany-bio,Měsíček sypaný bio balení,https://www.sonnentor.com/cz/product-images/00214/34126/image-thumb__34126__product-teaser-img/00214.6269d28b.jpg,00214,13,gid://shopify/Product/15821909229902,majoranka-bio-110-g-gastro-baleni,"Majoránka bio 110 g, gastro balení",0.286,gid://shopify/Product/15821907198286,kmin-bio-cely-600-g-gastro-baleni,"Kmín bio, celý 600 g, gastro balení",0.250,gid://shopify/Product/15821907263822,kmin-bio-mlety-580-g-gastro-baleni,"Kmín bio, mletý 580 g, gastro balení",0.250,
sonnentor-taska-z-biobavlny-tady-roste-radost-bio,Sonnentor taška z biobavlny Tady roste radost bio,https://www.sonnentor.com/cz/product-images/33150/35025/image-thumb__35025__product-teaser-img/33150.2b51660c.jpg,33150,1,gid://shopify/Product/15821917913422,tady-roste-radost-bio-syp-50g,Tady roste radost bio syp. 50g,0.444,gid://shopify/Product/15821917847886,tady-roste-radost-bio-27g-porc-dvoukomorovy,Tady roste radost® bio 27g porc. dvoukomorový,0.400,gid://shopify/Product/15821929546062,sonnentor-taska-z-biobavlny-bylinky,Sonnentor taška z biobavlny Bylinky,0.375,
slamak,Ukázat detaily,https://www.sonnentor.com/cz/product-images/33099/34823/image-thumb__34823__product-teaser-img/33099.5e20d75a.jpg,33099,4,,,,,,,,,,,,,
cokokulicky-bio-baleni2,Čokokuličky bio balení,https://www.sonnentor.com/cz/product-images/01062/98864/image-thumb__98864__product-teaser-img/01062.537be499.jpg,01062,6,gid://shopify/Product/15821909229902,majoranka-bio-110-g-gastro-baleni,"Majoránka bio 110 g, gastro balení",0.333,gid://shopify/Product/15821907198286,kmin-bio-cely-600-g-gastro-baleni,"Kmín bio, celý 600 g, gastro balení",0.286,gid://shopify/Product/15821907263822,kmin-bio-mlety-580-g-gastro-baleni,"Kmín bio, mletý 580 g, gastro balení",0.286,
malina-list-sypana-bio,Malina list sypaná bio balení,https://www.sonnentor.com/cz/product-images/00213/32916/image-thumb__32916__product-teaser-img/00213.191d899a.jpg,00213,5,gid://shopify/Product/15821907722574,bobkovy-list-bio-50-g-gastro-baleni,"Bobkový list bio 50 g, gastro balení",0.375,gid://shopify/Product/15821907755342,bobkovy-list-bio-10g,Bobkový list bio 10g,0.286,gid://shopify/Product/15821908705614,malina-sirup-bio-500-ml,Malina sirup bio 500 ml,0.250,
adventni-kalendar-koreni-bio-krabicka,,,,1,,,,,,,,,,,,,
darkovy-box-vanocni-a-silvestrovske-menu-bio,,,,1,,,,,,,,,,,,,
darkovy-box-vanoce-bio,vánočního dárkového boxu,https://www.sonnentor.com/cz/product-images/33447/87324/image-thumb__87324__product-teaser-img/33447.621a5ac6.jpg,33447,1,,,,,,,,,,,,,
darkova-kazeta-cajova-kouzelne-vanoce-bio,Dárková kazeta čajová – Kouzelné Vánoce bio,https://www.sonnentor.com/cz/product-images/33390/74710/image-thumb__74710__product-teaser-img/33390.dfaa15c7.jpg,33390,3,gid://shopify/Product/15821926039886,darkova-kazeta-cajova-biorarasci,Dárková kazeta čajová – Biorarášci,0.429,gid://shopify/Product/15821920141646,darkova-kazeta-cajova-stesti-je,Dárková kazeta čajová Štěstí je...,0.375,gid://shopify/Product/15821932691790,darkova-kazeta-cajova-pro-radost,Dárková kazeta čajová - Pro radost,0.375,
